Industry_x,Occupation,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age",Industry_y,Total Number of workers,Total Median weekly earnings,"Number of workers, Men","Median weekly earnings, Men","Number of workers, Women","Median weekly earnings, Women"
Computer and Math,Computer and mathematical occupations,4303.0,25.0,261.0,1190.0,1177.0,989.0,549.0,112.0,41.1,Computer & Math,3879.0,1368,2900.0,1435,979.0,1165
Computer and Math,Computer and information research scientists,29.0,0.0,1.0,12.0,5.0,5.0,5.0,1.0,0,Computer & Math,27.0,0,22.0,0,5.0,0
Computer and Math,Computer systems analysts,511.0,1.0,37.0,122.0,140.0,120.0,74.0,17.0,41.9,Computer & Math,419.0,1385,272.0,1460,147.0,1259
Computer and Math,Information security analysts,68.0,0.0,4.0,12.0,18.0,17.0,14.0,2.0,44.8,Computer & Math,55.0,1419,47.0,0,8.0,0
Computer and Math,Computer programmers,509.0,3.0,31.0,127.0,131.0,130.0,73.0,15.0,42.1,Computer & Math,438.0,1409,354.0,1447,84.0,1253
Computer and Math,"Software developers, applications and systems software",1235.0,2.0,64.0,373.0,360.0,290.0,121.0,26.0,40.3,Computer & Math,1141.0,1693,917.0,1736,224.0,1457
Computer and Math,Web developers,220.0,4.0,23.0,88.0,56.0,27.0,16.0,5.0,36.5,Computer & Math,163.0,1129,105.0,1245,57.0,988
Computer and Math,Computer support specialists,524.0,7.0,50.0,142.0,135.0,110.0,66.0,13.0,40.3,Computer & Math,503.0,966,371.0,1049,132.0,837
Computer and Math,Database administrators,108.0,0.0,1.0,21.0,35.0,23.0,24.0,5.0,45.6,Computer & Math,101.0,1517,76.0,1662,25.0,0
Computer and Math,Network and computer systems administrators,205.0,0.0,7.0,53.0,66.0,53.0,23.0,3.0,41.6,Computer & Math,204.0,1263,162.0,1286,42.0,0
Computer and Math,Computer network architects,123.0,0.0,3.0,33.0,38.0,31.0,12.0,5.0,42.3,Computer & Math,126.0,1633,111.0,1650,15.0,0
Computer and Math,"Computer occupations, all other",512.0,9.0,29.0,124.0,135.0,120.0,82.0,13.0,42.2,Computer & Math,452.0,1088,343.0,1122,109.0,984
Computer and Math,Actuaries,28.0,0.0,4.0,12.0,4.0,6.0,2.0,0.0,0,Computer & Math,29.0,0,15.0,0,14.0,0
Computer and Math,Mathematicians,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0,Computer & Math,2.0,0,2.0,0,0.0,0
Computer and Math,Operations research analysts,138.0,0.0,3.0,36.0,30.0,38.0,27.0,4.0,44.1,Computer & Math,134.0,1276,61.0,1457,72.0,1233
Computer and Math,Statisticians,85.0,0.0,4.0,33.0,21.0,17.0,7.0,3.0,38.4,Computer & Math,78.0,1349,39.0,0,39.0,0
Computer and Math,Miscellaneous mathematical science occupations,5.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0,Computer & Math,6.0,0,2.0,0,4.0,0
Engineering,Architecture and engineering occupations,2798.0,13.0,195.0,652.0,603.0,660.0,544.0,132.0,44,Engineering,2527.0,1377,2150.0,1413,377.0,1158
Engineering,"Architects, except naval",178.0,0.0,7.0,46.0,44.0,34.0,32.0,15.0,43.8,Engineering,122.0,1329,94.0,1391,29.0,0
Engineering,"Surveyors, cartographers, and photogrammetrists",41.0,0.0,4.0,12.0,6.0,8.0,8.0,3.0,0,Engineering,33.0,0,27.0,0,6.0,0
Engineering,Aerospace engineers,147.0,0.0,6.0,31.0,33.0,34.0,38.0,5.0,46.9,Engineering,143.0,1642,121.0,1727,22.0,0
Engineering,Agricultural engineers,4.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0,Engineering,5.0,0,5.0,0,0.0,0
Engineering,Biomedical engineers,14.0,0.0,1.0,5.0,1.0,4.0,2.0,1.0,0,Engineering,12.0,0,10.0,0,2.0,0
Engineering,Chemical engineers,79.0,0.0,10.0,23.0,10.0,23.0,13.0,1.0,40.2,Engineering,75.0,1465,64.0,1570,11.0,0
Engineering,Civil engineers,349.0,0.0,24.0,89.0,64.0,81.0,64.0,27.0,43.8,Engineering,317.0,1383,263.0,1406,53.0,1275
Engineering,Computer hardware engineers,84.0,0.0,3.0,17.0,24.0,20.0,15.0,4.0,44.5,Engineering,79.0,1744,70.0,1795,9.0,0
Engineering,Electrical and electronics engineers,271.0,0.0,15.0,62.0,57.0,72.0,51.0,12.0,45.3,Engineering,271.0,1572,242.0,1568,29.0,0
Engineering,Environmental engineers,42.0,0.0,2.0,11.0,13.0,10.0,4.0,2.0,0,Engineering,40.0,0,31.0,0,9.0,0
Engineering,"Industrial engineers, including health and safety",194.0,0.0,17.0,44.0,35.0,50.0,40.0,8.0,43.9,Engineering,187.0,1404,155.0,1464,32.0,0
Engineering,Marine engineers and naval architects,9.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,0,Engineering,7.0,0,7.0,0,0.0,0
Engineering,Materials engineers,35.0,0.0,0.0,9.0,8.0,10.0,7.0,1.0,0,Engineering,33.0,0,28.0,0,5.0,0
Engineering,Mechanical engineers,303.0,0.0,23.0,77.0,72.0,72.0,47.0,12.0,42.6,Engineering,286.0,1434,259.0,1453,27.0,0
Engineering,"Mining and geological engineers, including mining safety engineers",15.0,0.0,1.0,3.0,5.0,4.0,3.0,0.0,0,Engineering,18.0,0,18.0,0,0.0,0
Engineering,Nuclear engineers,5.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0,Engineering,5.0,0,5.0,0,0.0,0
Engineering,Petroleum engineers,37.0,0.0,1.0,12.0,10.0,6.0,8.0,1.0,0,Engineering,36.0,0,26.0,0,9.0,0
Engineering,"Engineers, all other",406.0,3.0,14.0,92.0,88.0,96.0,88.0,25.0,45.8,Engineering,362.0,1463,317.0,1488,44.0,0
Engineering,Drafters,138.0,0.0,17.0,26.0,36.0,32.0,24.0,2.0,41.7,Engineering,122.0,979,102.0,986,20.0,0
Engineering,"Engineering technicians, except drafters",369.0,5.0,38.0,69.0,75.0,85.0,84.0,12.0,44,Engineering,321.0,989,253.0,1066,68.0,785
Engineering,Surveying and mapping technicians,77.0,3.0,10.0,17.0,17.0,14.0,15.0,1.0,40.6,Engineering,56.0,879,54.0,882,2.0,0
Service,Community and social service occupations,2495.0,20.0,142.0,586.0,588.0,542.0,446.0,172.0,43.6,Service,2005.0,858,741.0,934,1264.0,824
Service,Counselors,737.0,16.0,50.0,189.0,164.0,144.0,134.0,39.0,42.5,Service,552.0,849,174.0,885,378.0,831
Service,Social workers,799.0,0.0,33.0,219.0,215.0,178.0,117.0,36.0,41.8,Service,690.0,844,127.0,892,563.0,839
Service,Probation officers and correctional treatment specialists,100.0,0.0,2.0,24.0,39.0,24.0,11.0,0.0,41.5,Service,95.0,999,45.0,0,50.0,1141
Service,Social and human service assistants,180.0,1.0,16.0,40.0,42.0,36.0,34.0,11.0,42.9,Service,142.0,716,29.0,0,113.0,673
Service,"Miscellaneous community and social service specialists, including health educators and community health workers",114.0,2.0,10.0,27.0,22.0,22.0,23.0,9.0,44,Service,93.0,773,26.0,0,66.0,747
Service,Clergy,433.0,1.0,16.0,61.0,80.0,109.0,101.0,67.0,50.5,Service,356.0,958,303.0,1007,53.0,763
Service,"Directors, religious activities and education",64.0,0.0,6.0,18.0,11.0,11.0,15.0,3.0,41.9,Service,37.0,0,20.0,0,18.0,0
Service,"Religious workers, all other",68.0,1.0,8.0,9.0,15.0,19.0,10.0,6.0,44.6,Service,40.0,0,17.0,0,23.0,0
Service,Legal occupations,1814.0,5.0,37.0,388.0,405.0,431.0,387.0,160.0,46.3,,1313.0,1271,591.0,1765,722.0,1001
Service,Lawyers,1132.0,0.0,5.0,223.0,276.0,254.0,250.0,123.0,47,,737.0,1807,486.0,1915,251.0,1590
Entertainmnet,Artists and related workers,203.0,2.0,9.0,38.0,37.0,44.0,49.0,24.0,48,Entertainment,65.0,1166,43.0,0,22.0,0
Entertainmnet,Designers,830.0,5.0,72.0,216.0,187.0,179.0,125.0,46.0,41.8,Entertainment,546.0,921,289.0,1020,257.0,812
Entertainmnet,Actors,43.0,3.0,4.0,9.0,10.0,9.0,4.0,4.0,0,Entertainment,13.0,0,8.0,0,5.0,0
