Industry_x,Occupation,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age",Industry_y,Total Number of workers,Total Median weekly earnings,"Number of workers, Men","Median weekly earnings, Men","Number of workers, Women","Median weekly earnings, Women"
Service,Social workers,734.0,2.0,34.0,195.0,205.0,159.0,115.0,23.0,42,Service,668.0,847,134.0,856,535.0,845
Service,Probation officers and correctional treatment specialists,88.0,0.0,3.0,26.0,30.0,17.0,11.0,1.0,40.3,Service,85.0,948,44.0,0,40.0,0
Service,Social and human service assistants,151.0,1.0,18.0,39.0,27.0,22.0,35.0,9.0,42.2,Service,124.0,637,25.0,0,99.0,656
Service,"Miscellaneous community and social service specialists, including health educators and community health workers",94.0,1.0,7.0,21.0,15.0,30.0,14.0,5.0,44.4,Service,74.0,667,24.0,0,51.0,642
Service,Clergy,408.0,2.0,10.0,49.0,62.0,94.0,120.0,70.0,52.8,Service,344.0,895,281.0,959,63.0,777
Service,"Directors, religious activities and education",61.0,0.0,2.0,13.0,9.0,16.0,15.0,6.0,48.3,Service,37.0,0,14.0,0,23.0,0
Service,"Religious workers, all other",69.0,3.0,9.0,8.0,7.0,13.0,17.0,12.0,51.1,Service,40.0,0,21.0,0,20.0,0
Service,Legal occupations,1786.0,5.0,49.0,385.0,415.0,421.0,354.0,156.0,46,,1315.0,1328,600.0,1884,716.0,1013
Service,Lawyers,1061.0,0.0,1.0,213.0,258.0,240.0,223.0,125.0,47.5,,690.0,1909,462.0,2055,228.0,1636
Entertainmnet,Artists and related workers,212.0,0.0,10.0,44.0,53.0,42.0,46.0,17.0,45.7,Entertainment,68.0,1131,44.0,0,24.0,0
Entertainmnet,Designers,756.0,7.0,61.0,196.0,174.0,176.0,107.0,35.0,41.6,Entertainment,467.0,953,241.0,1028,226.0,855
Entertainmnet,Actors,37.0,2.0,7.0,10.0,9.0,5.0,3.0,1.0,0,Entertainment,10.0,0,5.0,0,5.0,0
Entertainmnet,Producers and directors,121.0,0.0,10.0,37.0,28.0,22.0,19.0,4.0,41.1,Entertainment,75.0,1048,41.0,0,34.0,0
Entertainmnet,"Athletes, coaches, umpires, and related workers",267.0,44.0,60.0,48.0,38.0,38.0,30.0,9.0,31.1,Entertainment,89.0,958,63.0,1018,25.0,0
Entertainmnet,Dancers and choreographers,21.0,4.0,5.0,9.0,3.0,0.0,0.0,0.0,0,Entertainment,5.0,0,0.0,0,5.0,0
Entertainmnet,"Musicians, singers, and related workers",203.0,7.0,18.0,51.0,35.0,34.0,38.0,20.0,43.3,Entertainment,49.0,0,36.0,0,13.0,0
Entertainmnet,"Entertainers and performers, sports and related workers, all other",41.0,2.0,5.0,14.0,6.0,6.0,2.0,5.0,0,Entertainment,14.0,0,9.0,0,5.0,0
Entertainmnet,Announcers,50.0,0.0,5.0,9.0,14.0,13.0,5.0,5.0,44.1,Entertainment,20.0,0,17.0,0,3.0,0
Entertainmnet,"News analysts, reporters and correspondents",82.0,1.0,12.0,20.0,11.0,20.0,15.0,5.0,42.8,Entertainment,63.0,1021,39.0,0,24.0,0
Healthcare,Chiropractors,58.0,0.0,0.0,9.0,17.0,15.0,10.0,6.0,47.3,Healthcare,7.0,0,4.0,0,3.0,0
Healthcare,Dentists,167.0,0.0,0.0,17.0,39.0,51.0,37.0,22.0,51.7,Healthcare,49.0,0,37.0,0,13.0,0
Healthcare,Dietitians and nutritionists,116.0,2.0,4.0,24.0,22.0,26.0,32.0,6.0,47.4,Healthcare,79.0,840,6.0,0,73.0,845
Healthcare,Optometrists,33.0,0.0,0.0,8.0,3.0,10.0,7.0,4.0,0,Healthcare,7.0,0,4.0,0,3.0,0
Healthcare,Pharmacists,286.0,0.0,8.0,94.0,73.0,49.0,45.0,16.0,41.2,Healthcare,223.0,1877,107.0,1879,116.0,1871
Healthcare,Physicians and surgeons,911.0,0.0,3.0,179.0,238.0,218.0,181.0,92.0,46.9,Healthcare,655.0,1887,429.0,2099,226.0,1418
Healthcare,Physician assistants,108.0,0.0,5.0,34.0,35.0,22.0,11.0,2.0,39.6,Healthcare,88.0,1329,27.0,0,61.0,1364
Healthcare,Podiatrists,9.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0,Healthcare,1.0,0,0.0,0,1.0,0
Healthcare,Audiologists,14.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0,Healthcare,7.0,0,1.0,0,6.0,0
Healthcare,Occupational therapists,118.0,0.0,2.0,38.0,34.0,26.0,16.0,3.0,41.4,Healthcare,85.0,1189,3.0,0,82.0,1200
Healthcare,Physical therapists,211.0,1.0,6.0,74.0,53.0,46.0,27.0,5.0,39.9,Healthcare,144.0,1287,56.0,1362,88.0,1190
Healthcare,Radiation therapists,14.0,0.0,0.0,5.0,5.0,2.0,1.0,0.0,0,Healthcare,11.0,0,1.0,0,9.0,0
Healthcare,Recreational therapists,13.0,0.0,0.0,6.0,2.0,4.0,1.0,1.0,0,Healthcare,10.0,0,1.0,0,9.0,0
Healthcare,Respiratory therapists,111.0,0.0,3.0,27.0,34.0,24.0,20.0,3.0,43.2,Healthcare,92.0,979,36.0,0,56.0,936
Healthcare,Speech0language pathologists,146.0,0.0,4.0,50.0,40.0,21.0,29.0,1.0,41.6,Healthcare,88.0,1128,3.0,0,86.0,1121
Healthcare,Exercise physiologists,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,Healthcare,0.0,0,0.0,0,0.0,0
Healthcare,"Therapists, all other",148.0,1.0,12.0,41.0,40.0,25.0,23.0,6.0,40.8,Healthcare,88.0,926,16.0,0,71.0,877
Healthcare,Veterinarians,85.0,1.0,1.0,19.0,30.0,16.0,14.0,3.0,43.2,Healthcare,49.0,0,20.0,0,29.0,0
Healthcare,Registered nurses,2875.0,1.0,104.0,655.0,695.0,699.0,626.0,95.0,45,Healthcare,2176.0,1097,230.0,1189,1946.0,1086
Healthcare,Nurse anesthetists,27.0,0.0,0.0,1.0,9.0,8.0,9.0,0.0,0,Healthcare,24.0,0,11.0,0,12.0,0
Healthcare,Nurse midwives,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0,Healthcare,2.0,0,0.0,0,2.0,0
Healthcare,Nurse practitioners,103.0,0.0,0.0,15.0,38.0,26.0,23.0,2.0,45.4,Healthcare,77.0,1610,12.0,0,65.0,1530
Healthcare,"Health diagnosing and treating practitioners, all other",23.0,0.0,0.0,3.0,3.0,9.0,7.0,1.0,0,Healthcare,3.0,0,3.0,0,0.0,0
Healthcare,Clinical laboratory technologists and technicians,319.0,1.0,17.0,81.0,62.0,86.0,57.0,15.0,44.7,Healthcare,256.0,869,76.0,943,180.0,842
Healthcare,Dental hygienists,163.0,0.0,8.0,47.0,42.0,38.0,25.0,2.0,41.4,Healthcare,51.0,1045,0.0,0,50.0,1047
Healthcare,Diagnostic related technologists and technicians,308.0,2.0,14.0,80.0,89.0,64.0,52.0,6.0,42.2,Healthcare,241.0,961,67.0,1131,174.0,912
Healthcare,Emergency medical technicians and paramedics,172.0,5.0,17.0,73.0,40.0,25.0,10.0,1.0,33.8,Healthcare,145.0,780,100.0,809,44.0,0
Healthcare,Health practitioner support technologists and technicians,544.0,9.0,96.0,179.0,106.0,90.0,50.0,14.0,34.9,Healthcare,403.0,615,82.0,599,322.0,621
Healthcare,Licensed practical and licensed vocational nurses,531.0,3.0,25.0,127.0,133.0,140.0,85.0,18.0,43.2,Healthcare,433.0,731,33.0,0,400.0,730
Healthcare,Medical records and health information technicians,90.0,1.0,4.0,19.0,17.0,25.0,19.0,4.0,45.7,Healthcare,74.0,618,9.0,0,65.0,663
Healthcare,"Opticians, dispensing",54.0,0.0,7.0,7.0,10.0,12.0,17.0,2.0,48.1,Healthcare,41.0,0,17.0,0,24.0,0
Healthcare,Miscellaneous health technologists and technicians,140.0,2.0,10.0,31.0,33.0,31.0,26.0,7.0,43.1,Healthcare,113.0,772,42.0,0,71.0,714
Healthcare,Other healthcare practitioners and technical occupations,75.0,1.0,6.0,19.0,17.0,9.0,19.0,3.0,42.3,Healthcare,69.0,900,36.0,0,34.0,0
Healthcare,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,
