Industry_x,Occupation,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age",Industry_y,Total Number of workers,Total Median weekly earnings,"Number of workers, Men","Median weekly earnings, Men","Number of workers, Women","Median weekly earnings, Women"
Computer and Math,Computer and mathematical occupations,4369.0,20.0,266.0,1234.0,1224.0,951.0,565.0,109.0,40.8,Computer & Math,4009.0,1428,3036.0,1503,973.0,1245
Computer and Math,Computer and information research scientists,24.0,0.0,1.0,7.0,8.0,4.0,3.0,0.0,0,Computer & Math,28.0,0,23.0,0,5.0,0
Computer and Math,Computer systems analysts,552.0,1.0,26.0,142.0,160.0,125.0,82.0,17.0,42.1,Computer & Math,499.0,1389,325.0,1462,173.0,1256
Computer and Math,Information security analysts,70.0,0.0,2.0,17.0,19.0,16.0,12.0,4.0,44.7,Computer & Math,67.0,1538,56.0,1562,11.0,0
Computer and Math,Computer programmers,480.0,2.0,28.0,108.0,127.0,123.0,77.0,15.0,43.1,Computer & Math,450.0,1438,357.0,1501,93.0,1302
Computer and Math,"Software developers, applications and systems software",1353.0,1.0,74.0,438.0,387.0,280.0,148.0,25.0,39.7,Computer & Math,1287.0,1682,1054.0,1751,232.0,1415
Computer and Math,Web developers,204.0,3.0,29.0,73.0,57.0,28.0,11.0,2.0,35.9,Computer & Math,151.0,1165,98.0,1233,53.0,1026
Computer and Math,Computer support specialists,475.0,6.0,40.0,129.0,122.0,96.0,71.0,12.0,40.5,Computer & Math,396.0,1079,291.0,1135,105.0,908
Computer and Math,Database administrators,93.0,0.0,1.0,17.0,20.0,31.0,20.0,4.0,47,Computer & Math,90.0,1536,58.0,1829,32.0,0
Computer and Math,Network and computer systems administrators,218.0,0.0,8.0,64.0,65.0,55.0,23.0,3.0,41.2,Computer & Math,208.0,1242,179.0,1266,28.0,0
Computer and Math,Computer network architects,114.0,0.0,1.0,24.0,45.0,28.0,10.0,6.0,41.6,Computer & Math,115.0,1552,100.0,1577,15.0,0
Computer and Math,"Computer occupations, all other",547.0,8.0,42.0,141.0,148.0,121.0,77.0,12.0,41.2,Computer & Math,490.0,1227,374.0,1252,116.0,1145
Computer and Math,Actuaries,21.0,0.0,0.0,9.0,5.0,4.0,2.0,1.0,0,Computer & Math,24.0,0,18.0,0,6.0,0
Computer and Math,Mathematicians,6.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0,Computer & Math,6.0,0,6.0,0,0.0,0
