Industry_x,Occupation,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age",Industry_y,Total Number of workers,Total Median weekly earnings,"Number of workers, Men","Median weekly earnings, Men","Number of workers, Women","Median weekly earnings, Women"
Computer and Math,Computer and mathematical occupations,3980.0,20.0,235.0,1062.0,1143.0,946.0,476.0,98.0,41.1,Computer & Math,3621.0,1365,2693.0,1452,928.0,1174
Computer and Math,Computer and information research scientists,18.0,0.0,1.0,4.0,4.0,5.0,3.0,0.0,0,Computer & Math,15.0,0,12.0,0,3.0,0
Computer and Math,Computer systems analysts,534.0,1.0,36.0,132.0,152.0,125.0,76.0,11.0,41.6,Computer & Math,443.0,1367,285.0,1455,158.0,1216
Computer and Math,Information security analysts,48.0,0.0,4.0,8.0,16.0,12.0,7.0,2.0,0,Computer & Math,53.0,1460,43.0,0,10.0,0
Computer and Math,Computer programmers,489.0,2.0,25.0,105.0,146.0,129.0,68.0,14.0,42.8,Computer & Math,437.0,1372,332.0,1428,106.0,1162
Computer and Math,"Software developers, applications and systems software",1103.0,6.0,49.0,332.0,320.0,260.0,117.0,19.0,40.6,Computer & Math,1053.0,1643,844.0,1737,209.0,1370
Computer and Math,Web developers,192.0,1.0,22.0,60.0,60.0,36.0,12.0,2.0,37.5,Computer & Math,137.0,1060,84.0,1157,53.0,937
Computer and Math,Computer support specialists,517.0,5.0,46.0,150.0,125.0,107.0,71.0,12.0,40.1,Computer & Math,474.0,980,340.0,1019,134.0,901
Computer and Math,Database administrators,98.0,0.0,2.0,24.0,30.0,30.0,11.0,1.0,42,Computer & Math,95.0,1345,65.0,1563,30.0,0
Computer and Math,Network and computer systems administrators,205.0,0.0,10.0,61.0,68.0,38.0,25.0,2.0,40.1,Computer & Math,210.0,1237,173.0,1252,37.0,0
Computer and Math,Computer network architects,135.0,0.0,2.0,27.0,50.0,41.0,12.0,3.0,42.3,Computer & Math,131.0,1630,122.0,1593,9.0,0
Computer and Math,"Computer occupations, all other",410.0,4.0,28.0,96.0,116.0,105.0,43.0,19.0,41.5,Computer & Math,359.0,1149,277.0,1136,81.0,1176
Computer and Math,Actuaries,28.0,0.0,4.0,7.0,7.0,6.0,3.0,1.0,0,Computer & Math,25.0,0,17.0,0,9.0,0
Computer and Math,Mathematicians,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,Computer & Math,2.0,0,2.0,0,0.0,0
Computer and Math,Operations research analysts,128.0,0.0,3.0,35.0,26.0,35.0,17.0,11.0,44.8,Computer & Math,119.0,1444,56.0,1569,63.0,1313
Computer and Math,Statisticians,72.0,0.0,5.0,21.0,21.0,13.0,11.0,1.0,40.9,Computer & Math,65.0,1414,42.0,0,23.0,0
Computer and Math,Miscellaneous mathematical science occupations,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,Computer & Math,1.0,0,0.0,0,1.0,0
Engineering,Architecture and engineering occupations,2806.0,11.0,163.0,672.0,605.0,712.0,512.0,130.0,44.3,Engineering,2540.0,1365,2209.0,1403,330.0,1143
Engineering,"Architects, except naval",193.0,0.0,2.0,44.0,49.0,41.0,40.0,18.0,46.3,Engineering,118.0,1292,88.0,1347,30.0,0
Engineering,"Surveyors, cartographers, and photogrammetrists",39.0,0.0,2.0,16.0,7.0,9.0,6.0,0.0,0,Engineering,32.0,0,22.0,0,9.0,0
Engineering,Aerospace engineers,144.0,1.0,5.0,32.0,34.0,40.0,27.0,6.0,45.1,Engineering,137.0,1865,124.0,1873,13.0,0
Engineering,Agricultural engineers,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0,Engineering,3.0,0,3.0,0,0.0,0
Engineering,Biomedical engineers,11.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0,Engineering,10.0,0,9.0,0,2.0,0
Engineering,Chemical engineers,61.0,0.0,5.0,14.0,11.0,12.0,13.0,5.0,44.7,Engineering,56.0,1568,48.0,0,8.0,0
Engineering,Civil engineers,360.0,0.0,23.0,93.0,74.0,93.0,55.0,20.0,43.6,Engineering,324.0,1373,288.0,1417,36.0,0
Engineering,Computer hardware engineers,90.0,0.0,5.0,24.0,26.0,23.0,11.0,1.0,41.7,Engineering,92.0,1507,82.0,1544,10.0,0
Engineering,Electrical and electronics engineers,300.0,1.0,19.0,66.0,60.0,81.0,59.0,14.0,46.2,Engineering,268.0,1522,247.0,1514,21.0,0
Engineering,Environmental engineers,33.0,1.0,2.0,6.0,7.0,5.0,7.0,3.0,0,Engineering,28.0,0,22.0,0,6.0,0
Engineering,"Industrial engineers, including health and safety",190.0,1.0,9.0,31.0,43.0,57.0,42.0,7.0,47.6,Engineering,181.0,1385,151.0,1417,30.0,0
Engineering,Marine engineers and naval architects,11.0,0.0,0.0,3.0,4.0,3.0,2.0,0.0,0,Engineering,12.0,0,12.0,0,0.0,0
Engineering,Materials engineers,46.0,0.0,3.0,11.0,8.0,17.0,4.0,3.0,0,Engineering,43.0,0,36.0,0,7.0,0
Engineering,Mechanical engineers,327.0,1.0,27.0,80.0,75.0,84.0,50.0,10.0,42.4,Engineering,297.0,1496,273.0,1554,24.0,0
Engineering,"Mining and geological engineers, including mining safety engineers",18.0,0.0,1.0,6.0,2.0,3.0,6.0,0.0,0,Engineering,16.0,0,13.0,0,2.0,0
Engineering,Nuclear engineers,4.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,Engineering,4.0,0,4.0,0,0.0,0
Engineering,Petroleum engineers,33.0,0.0,5.0,10.0,8.0,5.0,5.0,0.0,0,Engineering,34.0,0,33.0,0,2.0,0
Engineering,"Engineers, all other",398.0,0.0,16.0,105.0,92.0,92.0,70.0,24.0,44.2,Engineering,371.0,1528,322.0,1561,48.0,0
Engineering,Drafters,125.0,1.0,10.0,33.0,26.0,33.0,21.0,1.0,41.6,Engineering,104.0,974,85.0,991,20.0,0
Engineering,"Engineering technicians, except drafters",365.0,4.0,26.0,78.0,66.0,97.0,83.0,12.0,45.4,Engineering,361.0,1011,302.0,1027,59.0,934
Engineering,Surveying and mapping technicians,54.0,1.0,2.0,14.0,10.0,14.0,10.0,4.0,44.7,Engineering,48.0,0,43.0,0,5.0,0
Service,Community and social service occupations,2332.0,24.0,117.0,551.0,546.0,482.0,439.0,173.0,43.9,Service,1913.0,847,755.0,930,1158.0,808
Service,Counselors,727.0,11.0,35.0,181.0,171.0,152.0,130.0,46.0,43.2,Service,568.0,885,178.0,889,391.0,884
Service,Social workers,727.0,1.0,36.0,203.0,195.0,150.0,111.0,32.0,41.4,Service,636.0,845,129.0,978,507.0,818
Service,Probation officers and correctional treatment specialists,105.0,0.0,2.0,25.0,39.0,28.0,9.0,1.0,42.9,Service,105.0,888,62.0,927,43.0,0
Service,Social and human service assistants,127.0,4.0,14.0,30.0,26.0,21.0,26.0,7.0,42.5,Service,102.0,668,34.0,0,68.0,641
Service,"Miscellaneous community and social service specialists, including health educators and community health workers",106.0,2.0,7.0,24.0,27.0,22.0,20.0,4.0,41.9,Service,83.0,756,19.0,0,64.0,740
Service,Clergy,410.0,2.0,12.0,61.0,67.0,91.0,113.0,64.0,51.8,Service,343.0,935,296.0,968,47.0,0
Service,"Directors, religious activities and education",57.0,0.0,5.0,13.0,11.0,11.0,13.0,4.0,45,Service,41.0,0,20.0,0,21.0,0
Service,"Religious workers, all other",74.0,4.0,5.0,14.0,11.0,9.0,17.0,14.0,47.1,Service,34.0,0,17.0,0,17.0,0
Service,Legal occupations,1809.0,6.0,56.0,367.0,419.0,446.0,372.0,144.0,46,,1305.0,1253,598.0,1764,707.0,1010
Service,Lawyers,1092.0,1.0,4.0,205.0,279.0,258.0,232.0,113.0,47.1,,710.0,1880,463.0,1986,247.0,1566
Entertainmnet,Artists and related workers,194.0,2.0,7.0,43.0,32.0,34.0,48.0,27.0,49.1,Entertainment,63.0,1032,38.0,0,25.0,0
Entertainmnet,Designers,784.0,5.0,64.0,214.0,179.0,170.0,111.0,41.0,41,Entertainment,514.0,961,270.0,1095,244.0,866
Entertainmnet,Actors,46.0,0.0,13.0,10.0,10.0,10.0,1.0,2.0,0,Entertainment,18.0,0,8.0,0,10.0,0
Entertainmnet,Producers and directors,150.0,0.0,9.0,46.0,35.0,33.0,24.0,4.0,41.2,Entertainment,104.0,1166,66.0,1331,38.0,0
Entertainmnet,"Athletes, coaches, umpires, and related workers",288.0,44.0,66.0,57.0,40.0,40.0,28.0,12.0,30.9,Entertainment,115.0,889,86.0,934,29.0,0
Entertainmnet,Dancers and choreographers,19.0,1.0,6.0,6.0,5.0,1.0,0.0,1.0,0,Entertainment,1.0,0,0.0,0,1.0,0
Entertainmnet,"Musicians, singers, and related workers",202.0,10.0,11.0,51.0,36.0,30.0,45.0,18.0,44,Entertainment,46.0,0,33.0,0,13.0,0
Entertainmnet,"Entertainers and performers, sports and related workers, all other",35.0,2.0,3.0,12.0,5.0,5.0,8.0,1.0,0,Entertainment,9.0,0,2.0,0,7.0,0
Entertainmnet,Announcers,48.0,0.0,7.0,13.0,12.0,9.0,2.0,5.0,0,Entertainment,18.0,0,13.0,0,6.0,0
Entertainmnet,"News analysts, reporters and correspondents",88.0,0.0,10.0,28.0,15.0,10.0,18.0,8.0,41.5,Entertainment,68.0,1041,46.0,0,22.0,0
Healthcare,Chiropractors,58.0,0.0,0.0,10.0,19.0,15.0,7.0,6.0,44.4,Healthcare,13.0,0,12.0,0,1.0,0
Healthcare,Dentists,183.0,0.0,2.0,28.0,46.0,47.0,42.0,18.0,48.7,Healthcare,55.0,1533,37.0,0,18.0,0
Healthcare,Dietitians and nutritionists,110.0,0.0,7.0,23.0,25.0,25.0,22.0,8.0,45.5,Healthcare,82.0,885,10.0,0,71.0,864
Healthcare,Optometrists,41.0,0.0,0.0,6.0,8.0,9.0,15.0,3.0,0,Healthcare,14.0,0,11.0,0,2.0,0
Healthcare,Pharmacists,277.0,0.0,11.0,75.0,73.0,55.0,45.0,18.0,42.7,Healthcare,215.0,1960,98.0,2092,117.0,1802
Healthcare,Physicians and surgeons,934.0,0.0,5.0,192.0,243.0,213.0,170.0,111.0,46.8,Healthcare,667.0,1885,426.0,2087,241.0,1497
Healthcare,Physician assistants,129.0,1.0,7.0,41.0,35.0,22.0,18.0,4.0,39.2,Healthcare,103.0,1456,36.0,0,67.0,1491
Healthcare,Podiatrists,12.0,0.0,0.0,1.0,4.0,3.0,1.0,2.0,0,Healthcare,4.0,0,1.0,0,3.0,0
Healthcare,Audiologists,16.0,0.0,0.0,2.0,5.0,3.0,4.0,2.0,0,Healthcare,10.0,0,3.0,0,7.0,0
