Industry_x,Occupation,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age",Industry_y,Total Number of workers,Total Median weekly earnings,"Number of workers, Men","Median weekly earnings, Men","Number of workers, Women","Median weekly earnings, Women"
Computer and Math,Computer and mathematical occupations,3608.0,14.0,198.0,1036.0,1034.0,845.0,408.0,73.0,40.5,Computer & Math,3296.0,1305,2509.0,1369,787.0,1126
Computer and Math,Computer and information research scientists,20.0,0.0,3.0,7.0,5.0,3.0,2.0,0.0,0,Computer & Math,19.0,0,17.0,0,2.0,0
Computer and Math,Computer systems analysts,447.0,1.0,12.0,109.0,113.0,133.0,64.0,16.0,43.1,Computer & Math,373.0,1328,242.0,1410,132.0,1144
Computer and Math,Information security analysts,44.0,0.0,3.0,12.0,14.0,11.0,5.0,0.0,0,Computer & Math,45.0,0,38.0,0,7.0,0
Computer and Math,Computer programmers,459.0,4.0,30.0,110.0,131.0,105.0,66.0,14.0,41.8,Computer & Math,411.0,1277,329.0,1330,83.0,1238
Computer and Math,"Software developers, applications and systems software",1044.0,1.0,44.0,331.0,340.0,230.0,87.0,11.0,39.4,Computer & Math,990.0,1558,812.0,1606,179.0,1388
Computer and Math,Web developers,182.0,1.0,20.0,61.0,58.0,28.0,12.0,2.0,37,Computer & Math,117.0,1017,81.0,1033,35.0,0
Computer and Math,Computer support specialists,461.0,3.0,40.0,146.0,112.0,90.0,60.0,10.0,39.1,Computer & Math,434.0,915,326.0,896,107.0,951
Computer and Math,Database administrators,134.0,0.0,5.0,34.0,34.0,40.0,21.0,1.0,42.5,Computer & Math,138.0,1238,90.0,1470,48.0,0
Computer and Math,Network and computer systems administrators,233.0,0.0,9.0,69.0,77.0,52.0,22.0,4.0,40.6,Computer & Math,221.0,1180,172.0,1243,49.0,0
Computer and Math,Computer network architects,98.0,0.0,2.0,25.0,29.0,30.0,9.0,2.0,42.3,Computer & Math,94.0,1441,81.0,1585,12.0,0
Computer and Math,"Computer occupations, all other",306.0,4.0,21.0,81.0,74.0,81.0,37.0,9.0,40.8,Computer & Math,282.0,1127,221.0,1165,61.0,998
Computer and Math,Actuaries,18.0,0.0,1.0,7.0,4.0,3.0,2.0,1.0,0,Computer & Math,17.0,0,12.0,0,5.0,0
Computer and Math,Mathematicians,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,Computer & Math,2.0,0,1.0,0,1.0,0
Computer and Math,Operations research analysts,116.0,0.0,6.0,33.0,30.0,28.0,15.0,3.0,41.3,Computer & Math,116.0,1273,66.0,1258,51.0,1326
Computer and Math,Statisticians,37.0,0.0,2.0,9.0,14.0,8.0,5.0,0.0,0,Computer & Math,30.0,0,17.0,0,13.0,0
Computer and Math,Miscellaneous mathematical science occupations,6.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0,Computer & Math,6.0,0,5.0,0,2.0,0
Engineering,Architecture and engineering occupations,2785.0,8.0,139.0,650.0,642.0,755.0,487.0,102.0,43.9,Engineering,2494.0,1315,2178.0,1343,316.0,1140
Engineering,"Architects, except naval",181.0,0.0,4.0,41.0,36.0,49.0,41.0,10.0,46.7,Engineering,113.0,1325,92.0,1351,21.0,0
Engineering,"Surveyors, cartographers, and photogrammetrists",42.0,0.0,4.0,13.0,8.0,7.0,10.0,2.0,0,Engineering,31.0,0,26.0,0,5.0,0
Engineering,Aerospace engineers,144.0,0.0,6.0,36.0,33.0,37.0,27.0,5.0,43.9,Engineering,134.0,1621,119.0,1745,16.0,0
Engineering,Agricultural engineers,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,Engineering,1.0,0,1.0,0,0.0,0
Engineering,Biomedical engineers,12.0,1.0,3.0,3.0,2.0,3.0,1.0,0.0,0,Engineering,12.0,0,10.0,0,2.0,0
Engineering,Chemical engineers,74.0,0.0,3.0,20.0,19.0,20.0,12.0,1.0,43.1,Engineering,73.0,1757,57.0,1885,16.0,0
Engineering,Civil engineers,383.0,0.0,20.0,100.0,87.0,97.0,62.0,17.0,42.5,Engineering,335.0,1398,289.0,1436,46.0,0
Engineering,Computer hardware engineers,77.0,1.0,4.0,22.0,20.0,20.0,8.0,3.0,41.7,Engineering,76.0,1528,66.0,1546,10.0,0
Engineering,Electrical and electronics engineers,309.0,0.0,14.0,73.0,68.0,96.0,47.0,12.0,45,Engineering,283.0,1442,256.0,1455,26.0,0
Engineering,Environmental engineers,45.0,0.0,1.0,7.0,11.0,15.0,8.0,1.0,0,Engineering,36.0,0,26.0,0,10.0,0
Engineering,"Industrial engineers, including health and safety",174.0,0.0,7.0,39.0,46.0,53.0,24.0,5.0,43.4,Engineering,178.0,1336,143.0,1356,34.0,0
Engineering,Marine engineers and naval architects,9.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,0,Engineering,6.0,0,6.0,0,1.0,0
Engineering,Materials engineers,32.0,0.0,0.0,6.0,11.0,10.0,5.0,0.0,0,Engineering,30.0,0,26.0,0,4.0,0
Engineering,Mechanical engineers,322.0,0.0,12.0,83.0,78.0,92.0,43.0,14.0,42.5,Engineering,306.0,1374,290.0,1399,16.0,0
Engineering,"Mining and geological engineers, including mining safety engineers",11.0,0.0,2.0,1.0,3.0,2.0,4.0,0.0,0,Engineering,9.0,0,8.0,0,1.0,0
Engineering,Nuclear engineers,20.0,0.0,2.0,7.0,1.0,3.0,7.0,1.0,0,Engineering,23.0,0,20.0,0,2.0,0
Engineering,Petroleum engineers,25.0,0.0,3.0,6.0,3.0,6.0,7.0,0.0,0,Engineering,19.0,0,18.0,0,1.0,0
Engineering,"Engineers, all other",337.0,0.0,14.0,92.0,74.0,83.0,59.0,15.0,43.3,Engineering,310.0,1366,275.0,1361,35.0,0
Engineering,Drafters,147.0,1.0,10.0,31.0,38.0,32.0,31.0,5.0,44,Engineering,124.0,941,102.0,1052,23.0,0
Engineering,"Engineering technicians, except drafters",376.0,4.0,28.0,55.0,83.0,113.0,83.0,10.0,46.5,Engineering,341.0,954,301.0,952,40.0,0
Engineering,Surveying and mapping technicians,62.0,0.0,3.0,14.0,16.0,18.0,8.0,2.0,43.1,Engineering,53.0,777,47.0,0,6.0,0
Service,Community and social service occupations,2352.0,15.0,123.0,536.0,516.0,527.0,489.0,146.0,44.8,Service,1931.0,813,728.0,906,1202.0,772
Service,Counselors,732.0,8.0,45.0,200.0,149.0,141.0,152.0,37.0,43,Service,568.0,828,188.0,874,380.0,808
Service,Social workers,769.0,1.0,28.0,205.0,206.0,174.0,132.0,24.0,42.6,Service,684.0,817,130.0,902,554.0,798
Service,Probation officers and correctional treatment specialists,94.0,0.0,4.0,30.0,29.0,20.0,9.0,2.0,40.2,Service,86.0,822,41.0,0,44.0,0
Service,Social and human service assistants,131.0,3.0,14.0,29.0,22.0,32.0,27.0,5.0,44.1,Service,105.0,597,21.0,0,83.0,597
Service,"Miscellaneous community and social service specialists, including health educators and community health workers",83.0,2.0,10.0,19.0,15.0,20.0,12.0,5.0,42.3,Service,62.0,676,23.0,0,39.0,0
Service,Clergy,414.0,1.0,10.0,39.0,73.0,106.0,128.0,58.0,52.5,Service,343.0,945,292.0,961,51.0,889
