Characteristic,2005_median_weekly_earnings,2005_workers_in_000's
"Total, 16 years and over",651,"103,560"
"Men, 16 years and over",722,"58,406"
"Men, 16 to 24 years",409,"6,396"
"Men, 25 years and over",771,"52,010"
"Women, 16 years and over",585,"45,154"
"Women, 16 to 24 years",381,"4,711"
"Women, 25 years and over",612,"40,443"
White,672,"84,110"
"W, Men",743,"48,572"
"W, Women",596,"35,538"
Black or African American,520,"12,388"
"B/AA, Men",559,"5,916"
"B/AA, Women",499,"6,472"
Asian,753,"4,651"
"A, Men",825,"2,597"
"A, Women",665,"2,054"
Hispanic or Latino ethnicity,471,"14,673"
"H/L, Men",489,"9,433"
"H/L, Women",429,"5,241"
