Characteristic,2003_median_weekly_earnings,2003_workers_in_000's
"Total, 16 years and over",620,"100,302"
"Men, 16 years and over",695,"56,227"
"Men, 16 to 24 years",398,"6,158"
"Men, 25 years and over",744,"50,069"
"Women, 16 years and over",552,"44,076"
"Women, 16 to 24 years",371,"4,632"
"Women, 25 years and over",584,"39,444"
White,636,"81,916"
"W, Men",715,"47,001"
"W, Women",567,"34,916"
Black or African American,514,"11,887"
"B/AA, Men",555,"5,585"
"B/AA, Women",491,"6,301"
Asian,693,"4,314"
"A, Men",772,"2,442"
"A, Women",598,"1,872"
Hispanic or Latino ethnicity,440,"13,634"
"H/L, Men",464,"8,677"
"H/L, Women",410,"4,957"
