Characteristic,2009_median_weekly_earnings,2009_workers_in_000's
"Total, 16 years and over",739,"99,820"
"Men, 16 years and over",819,"55,108"
"Men, 16 to 24 years",458,"5,014"
"Men, 25 years and over",873,"50,094"
"Women, 16 years and over",657,"44,712"
"Women, 16 to 24 years",424,"3,943"
"Women, 25 years and over",687,"40,769"
White,757,"80,873"
"W, Men",845,"45,730"
"W, Women",669,"35,144"
Black or African American,601,"11,713"
"B/AA, Men",621,"5,386"
"B/AA, Women",582,"6,327"
Asian,880,"4,923"
"A, Men",952,"2,727"
"A, Women",779,"2,196"
Hispanic or Latino ethnicity,541,"14,624"
"H/L, Men",569,"9,150"
"H/L, Women",509,"5,474"
